part_id,production_timestamp,line_id,station_id,operator_id,measure_diam_mm,measure_length_mm,flatness_mm,torque_Nm,surface_roughness_Ra,temp_process_C,vibration_level,cycle_time_s,material_batch,visual_inspection_score,defect_label
14,2025-07-30 16:14:30,1,18,1,43.948,36.652,29.713,185.499,26.042,74.691,0.378973,297.062,MB-2025W31-L01-803,0.265203,0
15,2025-05-20 10:56:17,5,14,9,38.736,36.192,25.934,487.484,33.167,113.376,0.747976,111.433,MB-2025W21-L05-515,0.584178,0
16,2024-02-23 14:08:55,9,6,1,44.054,32.741,21.359,444.728,26.151,145.328,0.569675,215.784,MB-2024W08-L09-084,0.039742,0
17,2025-12-18 08:57:01,10,19,9,20.431,56.789,26.284,206.246,15.235,121.64,0.457225,285.804,MB-2025W51-L10-010,0.935734,0
18,2024-07-16 08:27:24,10,4,2,15.298,43.96,21.376,197.714,21.399,105.055,0.543218,160.503,MB-2024W29-L10-827,0.983853,0
19,2025-05-21 15:13:29,1,18,5,14.143,65.125,25.289,455.885,39.697,82.436,0.281756,142.126,MB-2025W21-L01-704,0.34288,0
20,2024-07-05 10:00:07,5,17,8,46.213,63.844,21.846,269.43,21.067,70.284,0.771119,227.423,MB-2024W27-L05-760,0.261955,0
21,2025-11-24 11:12:45,7,18,1,15.962,31.441,27.384,321.01,27.191,73.346,0.364652,286.618,MB-2025W48-L07-041,0.972196,0
22,2025-04-18 10:43:54,4,8,2,39.979,67.031,24.735,165.001,41.995,84.164,0.412294,135.872,MB-2025W16-L04-802,0.924487,0
23,2024-10-15 11:51:26,4,9,3,44.887,64.344,24.449,426.635,28.412,94.415,0.795345,145.519,MB-2024W42-L04-198,0.023664,0
24,2025-10-08 15:44:48,5,3,5,31.449,67.569,22.307,488.16,17.143,147.003,0.265466,121.681,MB-2025W41-L05-747,0.434564,0
25,2024-10-17 13:19:33,7,20,9,45.98,37.603,20.888,274.423,30.797,134.521,0.686857,288.053,MB-2024W42-L07-202,0.737038,0
26,2025-05-21 15:12:05,2,11,10,43.921,58.79,26.006,223.714,26.336,102.192,0.295655,125.458,MB-2025W21-L02-963,0.420446,0
27,2024-08-15 09:24:08,3,20,10,21.477,47.196,31.6,361.882,28.6,105.373,0.213701,194.637,MB-2024W33-L03-816,0.901181,0
28,2025-04-17 08:37:15,2,10,9,23.408,62.737,35.023,369.118,18.986,85.93,0.024425,148.969,MB-2025W16-L02-871,0.475136,0
29,2024-05-22 09:17:53,8,14,10,38.734,45.359,27.993,159.029,37.505,141.413,0.860441,277.093,MB-2024W21-L08-225,0.77842,1
30,2024-03-26 15:03:03,9,15,1,28.258,62.057,33.352,495.157,33.818,146.003,0.891426,222.53,MB-2024W13-L09-517,0.719274,0
31,2025-10-22 12:11:30,9,15,3,28.987,40.368,24.945,355.065,40.633,111.704,0.626748,154.919,MB-2025W43-L09-293,0.077483,0
32,2024-04-18 12:27:00,6,11,9,19.25,57.758,34.128,125.692,26.304,113.409,0.415774,141.367,MB-2024W16-L06-927,0.420144,0
33,2025-07-30 14:33:25,1,19,7,25.599,65.666,36.715,315.288,39.385,133.989,0.897811,197.646,MB-2025W31-L01-498,0.272935,1
34,2024-12-20 09:32:47,6,13,3,46.782,69.229,30.682,462.772,33.676,123.04,0.083947,185.723,MB-2024W51-L06-187,0.866851,1
35,2024-12-10 12:58:21,7,11,4,23.074,60.449,27.583,400.804,43.277,90.182,0.081906,103.877,MB-2024W50-L07-975,0.539419,0
36,2024-07-02 10:27:27,2,2,1,17.974,30.815,23.048,150.488,36.778,115.118,0.217965,239.893,MB-2024W27-L02-172,0.766898,0
37,2024-08-21 16:04:02,2,6,5,33.032,66.321,27.506,476.588,17.933,117.368,0.830572,148.57,MB-2024W34-L02-309,0.697193,1
38,2024-09-13 09:46:22,10,4,10,10.506,46.802,29.804,273.409,24.488,141.326,0.459739,130.598,MB-2024W37-L10-535,0.176137,0
39,2024-12-18 10:38:16,5,20,9,27.423,59.241,25.368,440.685,43.229,76.933,0.881631,148.773,MB-2024W51-L05-625,0.464708,0
40,2024-09-12 17:08:19,6,1,8,21.186,53.846,37.602,322.316,30.665,85.285,0.241356,181.286,MB-2024W37-L06-247,0.555176,0
41,2024-03-04 15:24:10,8,15,1,21.769,46.176,24.866,365.584,24.761,114.278,0.343757,299.326,MB-2024W10-L08-361,0.550388,0
42,2024-06-19 10:18:12,5,10,5,14.826,37.703,22.391,314.346,40.488,84.812,0.216385,196.84,MB-2024W25-L05-779,0.724585,0
43,2024-08-09 11:11:49,5,4,4,19.099,37.178,20.283,313.654,20.972,147.944,0.553359,239.483,MB-2024W32-L05-890,0.126279,0
44,2024-11-29 11:41:46,2,1,10,23.628,68.62,25.05,444.689,14.563,75.227,0.491747,215.404,MB-2024W48-L02-156,0.686451,1
45,2025-08-28 13:14:24,10,10,2,34.737,61.028,27.608,463.402,21.894,117.082,0.42883,213.726,MB-2025W35-L10-984,0.06023,0
46,2025-05-19 08:02:08,4,7,5,13.247,39.595,31.04,162.613,26.341,125.15,0.469912,106.528,MB-2025W21-L04-290,0.288105,0
47,2025-03-25 11:14:15,8,3,4,36.447,67.347,28.503,317.825,35.905,142.673,0.826631,114.282,MB-2025W13-L08-315,0.165923,1
48,2024-08-15 13:26:00,10,10,8,37.989,67.707,30.009,297.518,13.218,73.189,0.432029,164.464,MB-2024W33-L10-094,0.250368,0
49,2025-08-08 08:55:46,10,19,1,36.891,40.78,20.805,402.508,28.82,122.121,0.916073,136.298,MB-2025W32-L10-651,0.58533,1
50,2024-11-04 12:55:22,2,16,6,23.332,56.805,37.155,231.921,37.747,93.057,0.945194,262.713,MB-2024W45-L02-466,0.550097,1
51,2025-08-14 10:05:59,5,11,2,26.167,50.584,39.762,363.064,31.704,103.06,0.187583,172.356,MB-2025W33-L05-641,0.756443,0
52,2024-11-27 15:50:19,1,7,5,45.234,49.388,20.577,352.009,41.973,126.783,0.31075,102.735,MB-2024W48-L01-231,0.407991,0
53,2025-05-09 10:56:47,2,15,2,43.286,49.935,34.332,303.549,20.937,136.778,0.980245,148.746,MB-2025W19-L02-393,0.551265,1
54,2025-10-24 11:23:32,10,17,3,12.792,60.907,37.088,235.95,41.509,91.374,0.002565,245.21,MB-2025W43-L10-594,0.837476,0
55,2025-02-13 16:37:56,8,5,8,29.374,43.298,35.257,250.884,47.314,139.568,0.980775,147.761,MB-2025W07-L08-877,0.382971,1
56,2024-10-14 11:25:35,1,11,8,25.443,56.548,36.415,492.327,29.813,72.962,0.502291,218.036,MB-2024W42-L01-896,0.8697,0
57,2024-02-19 11:39:44,2,17,8,28.78,68.768,26.771,377.082,35.993,138.141,0.852341,271.868,MB-2024W08-L02-325,0.380009,0
58,2024-02-14 12:13:04,8,18,1,19.391,57.376,25.748,190.995,13.615,148.267,0.76037,240.778,MB-2024W07-L08-171,0.100507,0
59,2025-09-01 17:57:09,1,2,6,12.245,44.339,28.614,197.679,26.482,124.544,0.180057,135.014,MB-2025W36-L01-392,0.609492,0
60,2024-04-12 12:40:13,4,16,10,19.288,55.516,29.191,366.736,45.956,107.22,0.287632,209.32,MB-2024W15-L04-968,0.073862,0
61,2025-06-11 13:08:21,10,10,7,20.004,63.812,23.984,253.877,29.328,88.976,0.571923,214.962,MB-2025W24-L10-303,0.992692,1
62,2024-01-30 11:00:49,7,9,1,46.425,59.807,36.657,461.174,41.03,88.409,0.801932,143.801,MB-2024W05-L07-257,0.190132,0
63,2025-03-17 12:48:05,3,4,1,24.594,35.256,38.193,230.688,26.62,86.064,0.786513,275.292,MB-2025W12-L03-514,0.365858,0
64,2024-08-08 14:35:53,3,9,8,39.862,43.549,22.303,485.157,15.63,147.32,0.860141,244.843,MB-2024W32-L03-991,0.979942,0
65,2025-08-28 12:08:34,9,12,2,25.783,40.578,22.472,247.434,39.96,90.973,0.381025,227.71,MB-2025W35-L09-692,0.371474,0
66,2025-05-09 09:52:41,1,20,9,12.529,62.954,38.188,220.876,26.332,81.182,0.946262,160.873,MB-2025W19-L01-100,0.492625,0
67,2024-12-09 17:17:43,9,5,7,24.84,67.975,33.93,316.077,33.494,128.128,0.885414,230.984,MB-2024W50-L09-631,0.833693,0
68,2024-10-03 16:22:57,5,2,6,31.779,69.114,27.173,259.256,17.592,79.773,0.848033,190.943,MB-2024W40-L05-658,0.662769,0
69,2025-08-25 15:05:52,1,2,6,32.583,32.744,35.303,182.863,18.638,139.576,0.32856,129.511,MB-2025W35-L01-003,0.900531,0
70,2025-09-03 14:08:21,3,5,9,16.98,56.442,20.516,105.944,41.599,89.035,0.323771,134.849,MB-2025W36-L03-760,0.052399,0
71,2024-12-05 13:13:06,2,3,8,41.121,50.53,22.181,301.535,47.817,73.469,0.783227,273.396,MB-2024W49-L02-470,0.521451,0
72,2024-11-18 11:04:44,1,2,8,37.444,49.611,38.194,129.396,13.232,118.664,0.065682,155.003,MB-2024W47-L01-562,0.633077,0
73,2024-08-08 10:03:18,7,20,9,28.149,54.217,21.984,380.712,44.112,122.073,0.768963,244.168,MB-2024W32-L07-463,0.215023,0
74,2024-07-08 08:15:10,7,11,8,24.972,36.106,38.46,126.853,43.271,77.458,0.096564,247.759,MB-2024W28-L07-570,0.811769,1
75,2024-11-06 10:47:26,9,18,6,24.144,56.614,35.006,447.237,38.842,147.472,0.60041,170.329,MB-2024W45-L09-218,0.577919,1
76,2025-02-27 10:18:10,8,8,2,24.702,60.504,31.482,422.889,43.806,147.964,0.818427,222.715,MB-2025W09-L08-027,0.642699,0
77,2024-07-22 14:53:31,5,1,3,38.108,42.359,26.796,102.442,44.795,115.306,0.400784,128.375,MB-2024W30-L05-032,0.633172,1
78,2024-11-13 11:00:27,9,7,7,28.146,36.296,26.233,229.753,47.656,117.698,0.883342,131.116,MB-2024W46-L09-051,0.754436,1
79,2025-01-03 14:09:11,5,15,7,34.283,46.567,24.311,304.939,23.807,78.871,0.678218,218.627,MB-2025W01-L05-316,0.526934,1
80,2023-12-29 08:03:37,7,20,1,18.177,67.813,35.347,405.664,21.578,79.599,0.497385,186.131,MB-2023W52-L07-546,0.129186,0
81,2025-10-22 17:12:53,9,18,6,39.682,47.449,29.195,131.145,22.522,104.343,0.404423,228.028,MB-2025W43-L09-415,0.289515,1
82,2025-09-29 14:50:59,6,6,10,37.584,44.474,28.734,142.345,27.427,102.036,0.078647,274.105,MB-2025W40-L06-227,0.745805,0
83,2025-02-07 11:57:12,3,3,9,30.398,66.237,26.988,390.952,42.758,135.203,0.236269,129.289,MB-2025W06-L03-617,0.197272,1
84,2024-12-17 17:28:29,2,6,8,40.178,60.395,28.978,469.662,32.58,120.824,0.624522,272.849,MB-2024W51-L02-155,0.627217,0
85,2024-07-23 17:03:03,8,15,5,33.657,44.078,21.484,284.697,11.504,99.499,0.287077,228.933,MB-2024W30-L08-093,0.977369,0
86,2025-08-29 09:18:58,9,13,8,39.557,31.641,38.181,328.663,17.53,118.4,0.501367,291.544,MB-2025W35-L09-831,0.450523,0
87,2024-11-27 09:10:06,6,3,9,49.639,50.963,32.196,245.559,46.717,100.993,0.774465,235.78,MB-2024W48-L06-647,0.052366,0
88,2025-02-28 17:57:03,2,11,2,37.135,41.366,34.475,362.626,46.254,139.862,0.333362,216.548,MB-2025W09-L02-359,0.141428,0
89,2024-09-03 12:00:34,7,5,10,42.527,56.805,36.579,395.51,37.417,112.111,0.646025,184.681,MB-2024W36-L07-372,0.361828,0
90,2024-05-20 11:59:59,4,11,8,19.062,35.503,21.543,437.771,14.046,131.67,0.83512,276.736,MB-2024W21-L04-345,0.037747,0
91,2025-06-13 12:20:29,10,5,10,40.844,62.362,23.311,275.069,26.434,124.109,0.23753,188.84,MB-2025W24-L10-767,0.284928,0
92,2024-08-19 17:39:44,4,18,4,48.624,61.375,38.079,177.606,37.132,115.634,0.440597,253.888,MB-2024W34-L04-515,0.778124,0
93,2025-10-31 10:41:53,3,7,10,20.0,55.647,37.482,321.816,14.104,137.671,0.851166,157.013,MB-2025W44-L03-280,0.763117,0
94,2025-09-17 17:12:53,9,5,7,28.045,43.983,20.533,121.303,30.08,88.862,0.994525,174.983,MB-2025W38-L09-954,0.028188,1
95,2025-06-23 08:54:37,6,5,3,28.764,54.614,38.117,107.602,18.626,81.962,0.940226,221.776,MB-2025W26-L06-795,0.423255,0
96,2024-06-25 13:35:50,5,4,1,26.793,61.756,29.142,144.343,46.206,117.739,0.016435,203.075,MB-2024W26-L05-148,0.241938,0
97,2025-03-10 14:42:19,1,20,6,26.663,56.575,21.712,489.862,12.707,112.085,0.507328,297.666,MB-2025W11-L01-400,0.554152,0
98,2024-09-25 17:28:30,1,13,6,41.541,43.792,34.659,351.303,40.86,128.815,0.332519,108.867,MB-2024W39-L01-834,0.546014,0
99,2025-07-01 12:48:36,8,16,3,41.048,48.307,25.869,117.523,17.979,73.352,0.933371,203.077,MB-2025W27-L08-557,0.989123,0
100,2024-09-25 15:14:37,1,7,5,44.486,31.912,33.115,209.287,41.974,104.956,0.400022,187.947,MB-2024W39-L01-348,0.956479,0
101,2025-09-02 15:20:31,8,16,6,30.771,62.046,34.542,131.571,34.098,135.787,0.545474,164.242,MB-2025W36-L08-677,0.080069,0
102,2024-12-04 15:51:49,8,20,7,11.694,64.801,27.051,499.26,20.982,148.402,0.947904,115.008,MB-2024W49-L08-373,0.637513,1
103,2024-11-27 16:53:46,3,1,3,11.392,32.689,35.57,246.531,25.314,115.38,0.605095,235.812,MB-2024W48-L03-381,0.948824,0
104,2025-02-06 14:36:37,2,19,3,24.678,42.575,25.574,484.208,11.037,84.884,0.517745,282.709,MB-2025W06-L02-794,0.117761,0
105,2024-03-27 14:53:24,8,7,10,15.429,32.962,23.453,385.348,49.89,134.841,0.967561,297.315,MB-2024W13-L08-727,0.66784,1
106,2025-10-14 15:18:06,9,10,5,16.3,58.383,34.004,169.636,24.46,87.939,0.985133,258.413,MB-2025W42-L09-506,0.236736,1
107,2024-12-20 09:50:20,9,19,6,42.146,52.066,32.239,134.486,22.372,149.968,0.71887,205.139,MB-2024W51-L09-844,0.769165,0
108,2025-06-03 14:54:47,3,11,2,30.694,35.133,36.581,320.521,33.511,131.423,0.129033,200.573,MB-2025W23-L03-852,0.868212,1
109,2025-12-18 09:32:20,3,10,3,38.373,43.841,38.818,457.97,43.837,90.048,0.635057,210.168,MB-2025W51-L03-311,0.12517,0
110,2025-03-18 08:47:53,2,17,3,16.168,56.349,34.413,342.056,43.701,115.089,0.825236,105.675,MB-2025W12-L02-657,0.045462,1
111,2025-04-16 11:08:20,5,7,10,35.56,49.922,32.543,215.869,48.266,108.636,0.804688,236.998,MB-2025W16-L05-075,0.297434,0
112,2025-01-02 11:51:29,3,15,7,28.578,43.608,22.873,444.594,22.773,149.042,0.345371,179.743,MB-2025W01-L03-528,0.760665,0
113,2024-03-27 12:44:12,6,8,8,20.699,39.917,21.936,216.085,25.366,119.23,0.24827,273.062,MB-2024W13-L06-336,0.1597,0
114,2025-01-13 09:06:20,6,7,3,49.839,48.673,37.582,298.948,13.602,101.459,0.457231,148.146,MB-2025W03-L06-050,0.583344,1
115,2023-12-29 17:12:02,8,20,8,43.887,47.237,37.649,391.003,40.554,99.275,0.400582,214.056,MB-2023W52-L08-567,0.194655,0
116,2025-09-24 09:40:50,7,17,8,49.564,57.216,22.376,490.033,25.756,133.592,0.339085,287.79,MB-2025W39-L07-204,0.754965,0
117,2024-01-22 14:10:18,7,17,1,15.481,43.322,29.475,282.795,34.25,111.24,0.327966,222.614,MB-2024W04-L07-632,0.162502,0
118,2025-01-20 09:47:58,5,19,6,43.132,51.294,34.175,219.916,42.63,99.469,0.673806,295.98,MB-2025W04-L05-816,0.583702,0
119,2024-07-16 14:36:31,1,20,8,48.683,61.316,35.523,331.054,38.856,116.682,0.170512,225.805,MB-2024W29-L01-862,0.619736,0
120,2025-06-19 11:25:08,4,2,10,14.396,30.757,26.274,160.573,37.62,102.83,0.774972,284.104,MB-2025W25-L04-754,0.872818,0
121,2025-05-20 17:33:54,3,17,4,29.135,45.073,39.134,283.865,31.325,113.702,0.675869,273.531,MB-2025W21-L03-823,0.680746,0
122,2025-08-13 08:29:35,10,16,4,21.56,38.291,34.1,226.816,23.952,144.696,0.795405,154.692,MB-2025W33-L10-693,0.121874,0
123,2024-02-22 17:58:41,7,12,3,23.855,47.695,25.129,291.632,18.083,113.086,0.933024,239.234,MB-2024W08-L07-631,0.137273,0
124,2025-05-26 15:22:22,4,8,1,46.207,39.027,24.657,140.079,23.212,107.792,0.681192,127.493,MB-2025W22-L04-952,0.964519,1
125,2025-08-01 11:57:58,8,16,4,48.557,42.847,32.918,463.175,13.578,115.931,0.535152,244.624,MB-2025W31-L08-936,0.936669,0
126,2025-08-26 09:24:48,7,6,1,29.815,67.464,39.243,470.416,45.07,70.741,0.567962,121.46,MB-2025W35-L07-292,0.982994,0
127,2024-04-05 14:25:51,9,17,8,44.042,48.721,23.856,145.059,16.5,106.713,0.257265,137.24,MB-2024W14-L09-810,0.736618,0
128,2025-05-02 11:28:28,4,6,10,45.882,63.08,30.306,134.695,36.77,84.782,0.140612,164.72,MB-2025W18-L04-268,0.248047,0
129,2024-09-27 15:17:58,8,9,6,37.711,32.485,22.364,222.723,26.217,110.202,0.895118,240.711,MB-2024W39-L08-121,0.310978,0
130,2024-06-10 13:36:57,5,12,10,48.294,49.127,29.1,495.535,24.945,126.155,0.912797,251.47,MB-2024W24-L05-846,0.801995,0
131,2025-02-03 12:55:00,4,20,2,27.87,58.151,21.562,325.667,12.47,113.812,0.505487,214.54,MB-2025W06-L04-336,0.149852,0
132,2025-11-20 13:16:29,8,4,4,30.415,62.348,29.069,305.299,28.272,74.619,0.462378,261.383,MB-2025W47-L08-406,0.72328,0
133,2025-06-19 08:52:59,1,7,10,12.55,69.765,38.692,127.608,47.351,72.539,0.408867,253.794,MB-2025W25-L01-747,0.765828,0
134,2025-12-04 17:01:36,7,12,7,46.271,45.026,33.655,364.717,31.572,122.283,0.34777,135.695,MB-2025W49-L07-542,0.537258,1
135,2025-05-29 11:42:36,4,1,1,38.764,46.965,27.586,191.866,28.425,82.41,0.18848,275.042,MB-2025W22-L04-033,0.76549,0
136,2024-05-31 10:24:09,7,20,1,12.692,53.758,28.929,368.809,44.888,89.579,0.044237,187.793,MB-2024W22-L07-773,0.53976,0
137,2025-08-14 09:55:07,1,5,9,36.901,42.827,26.035,157.304,36.408,87.683,0.300501,112.192,MB-2025W33-L01-901,0.94852,0
138,2024-10-14 10:00:00,3,14,9,41.432,42.749,28.326,159.687,25.058,130.353,0.473519,269.868,MB-2024W42-L03-725,0.300736,1
139,2024-04-05 12:25:58,8,2,9,25.537,40.2,26.605,131.628,27.991,99.686,0.535636,265.881,MB-2024W14-L08-387,0.051537,0
140,2024-05-17 12:22:50,10,2,2,42.186,53.503,33.429,186.807,18.356,142.563,0.303188,281.799,MB-2024W20-L10-195,0.211808,0
141,2024-12-19 12:18:04,2,16,4,31.346,44.37,25.231,305.127,29.891,77.889,0.981318,193.898,MB-2024W51-L02-937,0.839731,0
142,2025-10-24 12:28:18,6,14,1,18.851,35.837,25.215,473.903,33.166,103.406,0.152411,165.973,MB-2025W43-L06-854,0.37984,0
143,2025-07-07 08:51:37,9,11,5,35.668,49.624,23.365,417.99,16.771,127.625,0.488316,283.38,MB-2025W28-L09-658,0.542137,0
144,2025-09-18 17:18:42,9,2,2,36.729,60.574,28.248,437.018,19.257,126.574,0.009141,201.147,MB-2025W38-L09-633,0.373201,0
145,2024-01-04 14:01:27,10,16,8,10.264,52.066,20.237,311.767,20.99,148.198,0.017143,262.631,MB-2024W01-L10-826,0.674033,0
146,2024-06-27 12:44:50,3,4,2,17.677,51.058,36.304,206.93,25.876,99.844,0.406027,213.0,MB-2024W26-L03-232,0.990233,0
147,2025-02-24 15:51:51,2,2,2,29.04,55.47,34.057,133.074,43.813,121.593,0.331271,295.466,MB-2025W09-L02-917,0.97384,0
148,2025-10-27 15:38:04,1,8,4,37.692,52.671,25.422,469.664,37.377,92.43,0.543031,231.622,MB-2025W44-L01-871,0.179355,0
149,2025-07-29 15:48:08,4,19,3,42.828,62.836,38.577,219.711,32.558,115.336,0.849442,235.407,MB-2025W31-L04-394,0.540562,0
150,2025-07-24 09:04:48,3,3,9,48.973,32.148,28.742,435.47,23.624,131.52,0.954858,179.341,MB-2025W30-L03-031,0.773555,0
151,2024-09-24 17:33:51,8,16,4,32.122,45.017,23.715,334.35,25.203,131.773,0.295379,149.29,MB-2024W39-L08-275,0.073507,1
152,2023-12-27 09:36:31,3,13,6,47.718,47.789,35.227,140.893,13.492,104.478,0.556985,202.488,MB-2023W52-L03-092,0.103293,0
153,2024-10-17 14:07:05,2,20,10,10.494,46.552,35.583,389.938,32.381,149.418,0.242743,204.221,MB-2024W42-L02-174,0.685316,1
154,2024-07-24 17:03:53,5,9,8,26.844,49.369,21.538,200.68,19.864,120.003,0.593806,139.11,MB-2024W30-L05-312,0.106972,1
155,2024-08-12 17:16:56,7,11,10,22.827,67.891,24.017,225.673,48.583,147.498,0.291448,238.992,MB-2024W33-L07-590,0.491007,0
156,2025-09-17 13:19:25,6,13,5,41.435,44.601,38.641,179.92,49.891,84.394,0.767618,105.383,MB-2025W38-L06-966,0.727213,0
157,2025-09-19 11:23:14,8,10,2,43.912,61.802,33.46,155.672,22.113,90.215,0.154143,184.626,MB-2025W38-L08-460,0.376991,0
158,2025-02-10 10:05:35,8,19,7,30.265,66.816,33.834,317.458,41.629,98.762,0.895502,207.381,MB-2025W07-L08-088,0.63818,1
159,2025-05-07 09:00:57,4,12,3,37.099,45.985,35.054,486.287,27.218,70.844,0.258738,202.135,MB-2025W19-L04-595,0.518798,0
160,2025-03-24 12:52:29,4,15,6,37.617,36.03,39.954,293.108,21.817,143.644,0.085855,266.264,MB-2025W13-L04-357,0.730151,0
161,2025-01-01 11:09:21,8,7,9,23.932,33.905,34.44,280.979,12.687,73.575,0.710779,104.517,MB-2025W01-L08-112,0.343078,0
162,2024-04-25 17:54:31,3,8,9,23.24,47.055,29.241,419.102,35.19,84.911,0.657308,179.116,MB-2024W17-L03-905,0.737388,1
163,2024-07-26 13:29:11,10,14,7,40.093,62.349,21.251,140.701,44.879,84.957,0.325985,191.51,MB-2024W30-L10-884,0.262353,0
164,2024-09-18 14:32:53,6,20,7,24.079,48.314,23.451,369.436,42.025,143.495,0.590168,234.422,MB-2024W38-L06-245,0.313186,0
165,2024-04-08 10:47:43,3,12,3,32.992,46.922,29.733,314.952,46.766,144.456,0.173235,133.373,MB-2024W15-L03-192,0.288835,0
166,2025-09-16 13:29:21,8,20,1,25.358,52.463,33.061,263.654,29.669,126.811,0.443852,133.451,MB-2025W38-L08-815,0.565398,0
167,2024-12-12 13:51:04,5,2,5,32.626,60.902,29.906,304.322,32.909,91.431,0.543106,298.179,MB-2024W50-L05-775,0.542043,1
168,2024-07-02 15:05:12,8,18,4,21.908,69.973,28.995,239.431,42.669,105.126,0.993958,255.126,MB-2024W27-L08-831,0.236946,0
169,2024-04-09 12:17:26,6,20,7,41.394,62.541,36.109,328.03,31.291,117.749,0.168377,295.8,MB-2024W15-L06-587,0.292635,0
170,2024-02-07 09:55:54,9,4,3,49.699,64.682,22.538,446.432,19.987,126.912,0.828482,252.295,MB-2024W06-L09-502,0.676235,1
171,2025-04-28 12:26:25,5,14,7,41.784,60.755,28.057,399.921,37.788,140.185,0.454696,197.609,MB-2025W18-L05-890,0.581956,0
172,2025-10-13 15:53:30,2,15,6,12.533,51.377,24.357,271.857,18.474,91.483,0.828344,167.551,MB-2025W42-L02-580,0.577934,0
173,2025-04-22 17:35:42,6,2,1,41.356,48.383,22.485,443.061,27.651,70.054,0.958032,140.464,MB-2025W17-L06-136,0.688592,0
174,2025-05-22 12:06:17,5,6,5,46.152,36.621,27.927,222.204,37.978,88.732,0.655485,240.74,MB-2025W21-L05-489,0.001086,1
175,2025-06-03 12:33:34,10,8,9,27.803,30.323,26.871,148.238,44.414,125.522,0.4777,145.789,MB-2025W23-L10-826,0.089331,1
176,2024-10-15 15:12:00,6,12,5,40.938,60.126,22.663,497.176,15.714,112.441,0.008475,230.004,MB-2024W42-L06-740,0.440099,0
177,2024-02-28 16:44:41,3,14,10,45.864,35.601,22.463,392.004,24.061,104.351,0.791077,149.557,MB-2024W09-L03-255,0.644621,0
178,2025-08-19 09:48:34,10,20,5,47.651,31.073,36.941,450.331,18.218,118.554,0.188647,178.35,MB-2025W34-L10-803,0.64617,0
179,2024-06-27 14:51:08,4,16,7,29.983,53.757,30.566,491.079,49.475,144.714,0.131983,272.163,MB-2024W26-L04-375,0.56838,0
180,2025-08-27 10:11:41,3,16,2,25.919,41.46,34.253,406.844,26.943,102.182,0.640537,207.531,MB-2025W35-L03-086,0.15268,0
181,2025-10-01 13:27:49,9,7,3,35.994,55.726,26.203,274.994,48.137,89.091,0.24448,284.926,MB-2025W40-L09-627,0.115987,0
182,2024-09-17 15:48:53,5,6,2,30.92,61.319,34.415,166.785,15.077,132.49,0.268764,277.283,MB-2024W38-L05-031,0.77143,0
183,2025-01-14 10:10:05,7,9,9,44.374,36.675,23.146,409.332,45.771,123.93,0.115334,248.156,MB-2025W03-L07-880,0.002569,0
184,2024-05-10 08:50:10,4,2,8,47.246,64.299,31.057,465.579,39.627,103.55,0.321802,183.251,MB-2024W19-L04-278,0.720288,0
185,2025-05-29 08:27:49,10,12,2,46.078,37.174,36.087,492.566,48.163,75.514,0.465094,156.461,MB-2025W22-L10-336,0.844847,1
186,2024-08-15 10:02:34,8,1,6,39.583,39.703,27.365,488.743,49.911,132.071,0.732463,209.312,MB-2024W33-L08-155,0.795974,1
